order_id;date;full_date;year;month_year;month;day_of_week;hour;name;size;category;price;quantity;revenue;ingredients;quantity_str
1;'01.01.2015';'01.01.2015 11:38:36';2015;'01.01.2015';'January';'Thursday';11;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
77;'02.01.2015';'02.01.2015 12:22:46';2015;'01.01.2015';'January';'Friday';12;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
146;'03.01.2015';'03.01.2015 14:22:10';2015;'01.01.2015';'January';'Saturday';14;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
163;'03.01.2015';'03.01.2015 16:54:54';2015;'01.01.2015';'January';'Saturday';16;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
247;'04.01.2015';'04.01.2015 20:55:29';2015;'01.01.2015';'January';'Sunday';20;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
314;'06.01.2015';'06.01.2015 12:11:58';2015;'01.01.2015';'January';'Tuesday';12;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
351;'06.01.2015';'06.01.2015 17:37:29';2015;'01.01.2015';'January';'Tuesday';17;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
377;'07.01.2015';'07.01.2015 12:03:18';2015;'01.01.2015';'January';'Wednesday';12;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
558;'09.01.2015';'09.01.2015 20:51:10';2015;'01.01.2015';'January';'Friday';20;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
580;'10.01.2015';'10.01.2015 13:56:01';2015;'01.01.2015';'January';'Saturday';13;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
830;'14.01.2015';'14.01.2015 18:38:17';2015;'01.01.2015';'January';'Wednesday';18;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
985;'17.01.2015';'17.01.2015 14:34:50';2015;'01.01.2015';'January';'Saturday';14;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
1016;'17.01.2015';'17.01.2015 19:44:36';2015;'01.01.2015';'January';'Saturday';19;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
1113;'19.01.2015';'19.01.2015 17:00:44';2015;'01.01.2015';'January';'Monday';17;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
1234;'21.01.2015';'21.01.2015 17:36:59';2015;'01.01.2015';'January';'Wednesday';17;'The Hawaiian Pizza';'M';'Classic';13.25;1;13.25;'Sliced Ham, Pineapple, Mozzarella Cheese';'One'
